"企業活動における価値の創造についての記述です。（　　　）に当てはまる語句として、最も適切なものを選択してください。

顧客価値、（　　　）価値、株主価値を総合し最大化する企業価値の創造が会社経営の重要課題となります。",固定資産,商品,従業員,情報,従業員
"（　　　）に当てはまる語句として、最も適切なものを選択してください。

会社が社会に担う役割の一部として、消費者の欲する製品サービスを（　　　）な価格で、（　　　）な利益を得ることです。",適正,勝手,不当,適当,適正
企業経営の重要課題として、企業価値の創造がありますが、企業価値の重要課題として、不適切なものを選択してください。,株主価値,従業員価値,貨幣価値,顧客価値,貨幣価値
"市場から資金調達を容易にするためには、どのような価値を高めることが重要ですか。
最も適切なものを選択してください。",相対価値,従業員価値,顧客価値,株主価値,株主価値
"（　　　）に当てはまる語句として、最も適切なものを選択してください。

会社経営の重要課題は、（　　　）価値、従業員価値、株主価値を総合して、企業価値を最大化することです。",顧客,市場,資産,社会,顧客
"（　　　）に当てはまる語句として、最も適切なものを選択してください。

会社の形態には、営利を目的とする営利法人と、公共の利益を目的とし、営利を目的としない（　　　）法人があります。",公開,公益,公営,合同,公益
公益法人の団体として、不適切なものを選択してください。,合同会社,医療法人,社団法人,財団法人,合同会社
非営利法人に該当するものとして、最も適切なものを選択してください。,合資会社,有限会社,合名会社,学校法人,学校法人
"（　　　）に当てはまる語句として、最も適切なものを選択してください。

営利法人とは営利事業を営む法人で、株式会社、合資会社、合名会社、合同会社は（　　　）法で規定されています。",電子取引,会社,商取引,消費者保護,会社
出資者全員が無限責任を負う営利法人の形態として、正しいものを選択してください。,合資会社,株式会社,合同会社,合名会社,合名会社
"（　　　）に当てはまる語句として、最も適切なものを選択してください。

企業経営では人（ヒト）、物（モノ）、金（カネ）、情報などの（　　　）資源を活用し企業目的を達成します。",開発,環境,経営,材料,経営
ステークホルダーに関する記述として、最も適切なものを選択してください。,ある特定の会社の活動によって利益を得たり損害を受けたりする組織や個人,企業内のコンプライアンス活動全般に責任を持ち、企業倫理の観点から経営陣をサポートする人,人の潜在能力を引き出して目標に到達させるよう手伝いをする人,会議などにおいて、合意形成や相互理解に向けて深い議論がなされるよう調整する人,ある特定の会社の活動によって利益を得たり損害を受けたりする組織や個人
ある特定の会社の活動によって利益を得たり損害を受けたりする組織や個人を意味するものとして、最も適切なものを選択してください。,プライバシーマーク,ステークホルダー,ローリング,キャッシュフロー,ステークホルダー
代表的な４つの経営資源として、誤っているものを選択してください。,カネ,モノ,時間,情報,時間
企業の社会的存在価値は何か、経営にあたっての根本的な考え方は何かなど、企業の姿勢を示すものとして、最も適切なものを選択してください。,経営ビジョン,経営方針,経営計画,経営理念,経営理念
企業の将来の方向性を提示するもので、企業が進むべき方向を示したものとして、最も適切なものを選択してください。,経営方針,経営ビジョン,経営計画,経営理念,経営ビジョン
"（　　　）に当てはまる語句として、最も適切なものを選択してください。

経営計画とは、経営方針を踏まえて全社の利益計画、投資計画、人員計画、資金計画など、数値目標と目標達成のための方策や手段を定める実行計画です。
（　　　）の中長期計画と年度ごとの短期計画があります。",３～５年,２～３年,１～２年,５～１０年,３～５年
"（　　　）に当てはまる語句として、最も適切なものを選択してください。

2006年5月に会社法が施行され、株式会社は取締役の人数制限や取締役会・監査役の設置義務が撤廃されました。
その結果、株式会社でも設立運営が容易になったので、会社法施行後は　（　　　）を設立することはできなくなりました。",有限会社,合同会社,合資会社,学校法人,有限会社
